crime,cultural,food,health,location,other,social,sport,weather,traffic,tweets
0,0,0,0,0,0,0,0,0,0,"5.9923866970323802e+17 : In <S-PP/O><O> 18 <B-NP/O><O> days <E-NP/O><O> #Datacloud <O> Europe <I-NP/I-ORG><O> Congress <I-NP/I-ORG><O> Monaco <E-NP/E-ORG><O> will <B-VP/O><O> open <E-VP/O><O> its <B-NP/O><O> doors! <O> Register <I-NP/O><O> http://t.co/IQyPPrKQwm <O> @datacloudMonaco <O> http://t.co/ozWwAnIlRQ <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923869039788902e+17 : @luudick <O> AHAHAHAHAHAHAH <O/S-LOC><O> foi <O/O><O> lÃ¡ <O> que <O/O><O> e <O/O><O> aprendi <O/O><O> o <O/O><O> que <O/O><O> era <B-NP/O><O> um <I-NP/O><O> glory <I-NP/O><O> hole <E-NP/O><O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923869224762995e+17 : me <S-NP/O><O> puse <S-VP/O><O> a <B-NP/O><O> mirar <I-NP/O><O> el <I-NP/O><O> video <I-NP/O><O> del <I-NP/O><O> 3 <I-NP/O><O> de <I-NP/B-PER><O> mayo, <O> todo <O/O><O> lo <O/O><O> que <O/O><O> filmamos <O/O><O> del <O/O><O> #WWATour <O> y <O/O><O> estoy <O/O><O> tipo <O/O><O> ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923871373085504e+17 : #CiteFilmesComMiojo <O> Todo <O/I-MISC><O> mundo <O/I-MISC><O> em <O/I-MISC><O> miojo <B-NP/I-MISC><O> 1 <E-NP/E-MISC><O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923871489681395e+17 : Read <S-VP/O><O> about <S-PP/O><O> Rick <B-NP/B-PER><O> Clement <E-NP/E-PER><O> in <S-PP/O><O> this <B-NP/O><O> week's <O> @BigIssue <O> Then <S-ADVP/E-PER><O> make <S-VP/O><O> this <B-NP/O><O> an <I-NP/O><O> award <E-NP/O><O> winning <S-VP/O><O> cover <S-NP/O><O> via <S-PP/O><O> http://t.co/ESbPJx4k4d <O> http://t.co/8wB7ct2ux1 <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923872130574797e+17 : Big <I-NP/O><O> happy <I-NP/O><O> birthday <E-NP/O><O> to <S-PP/O><O> Nathan <B-NP/B-PER><O> Donovan <E-NP/E-PER><O> have <S-VP/O><O> a <B-NP/O><O> good <I-NP/O><O> one <E-NP/O><O> :) <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923872343646605e+17 : @tweeting_keith <O> I <S-NP/O><O> think <S-VP/O><O> a <B-NP/O><O> proportional <I-NP/O><O> system <E-NP/O><O> would <B-VP/O><O> change <E-VP/O><O> how <S-ADVP/O><O> people <S-NP/O><O> vote. <B-SOCIAL> People <S-VP/O><O> would <S-NP/O><O> simply <B-VP/O><O> vote <I-VP/O><B-SOCIAL> for <E-VP/O><O> the <S-PP/O><B-CULTURAL> party <B-NP/O><I-CULTURAL> they <E-NP/O><O> wanted. <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923872592366003e+17 : @NewhamLondon <O> Activity <I-NP/I-ORG><O> &amp; <O> Sports <B-NP/E-ORG><O> #Funding <O> upto <S-PP/O><O> Â£1500 <O> available <S-ADJP/O><O> for <S-PP/O><O> community <B-NP/O><O> orgs. <O> Deadline <B-NP/O><O> 18 <I-NP/O><O> May <I-NP/O><O> http://t.co/zTvInzSRJM <O> #FreeSport <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923873420739802e+17 : Â£99 <O> for <S-PP/O><O> Amazon <B-NP/B-ORG><O> Fire <I-NP/I-ORG><O> Phone <E-NP/E-ORG><O> - <O/O><O> I <S-NP/O><O> know <S-VP/O><O> its <B-NP/O><O> crap <E-NP/O><O> but <O/O><O> for <S-PP/O><O> that <B-NP/O><O> price, <O> how <S-ADVP/O><O> easy <S-ADJP/O><O> are <S-VP/O><O> they <S-NP/O><O> to <B-VP/O><O> root? <O> http://t.co/g8QAjQIp1V <O> http://t.co/glwHQwGIGa <O>
"
0,0,0,0,0,0,0,0,0,0,"5.9923873596067802e+17 : @EconGreenwood <O> think <S-VP/O><O> someone <S-NP/O><O> might <B-VP/O><O> find <E-VP/O><O> this <B-NP/O><O> interesting! <O> RT <I-NP/S-ORG><O> @BBCBusiness: <O> Hornby <S-NP/S-PER><O> revives <S-VP/O><O> Thomas <S-NP/S-PER><O> the <B-NP/O><O> Tank <I-NP/B-MISC><O> Engine <I-NP/E-MISC><O> http://t.co/ZD2rQtgeUW <O>
"
